timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_roll,pose_orientation_pitch,pose_orientation_yaw,twist_linear_x,twist_linear_y,twist_linear_z,twist_angular_x,twist_angular_y,twist_angular_z,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
1781774372.858829,0.026202329997406584,-5.354824525542034e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.12985499999374764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774372.9589407,0.028898429997281535,-5.370832130701598e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.1364549999937476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.0588815,0.031726529997156486,-5.387623461939999e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.14305499999374766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.1589208,0.037778729996906374,-5.42355730265332e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.15625499999374695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.2614553,0.041002829996781315,-5.442699812128242e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.1628549999937473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.363467,0.04435892999665626,-5.462626047681998e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.16945499999374697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.4619942,0.05146712999640615,-5.504829697026042e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.18265499999374768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.558825,0.05910332999615602,-5.550168250685442e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.1958549999937463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.6607773,0.06311942999603097,-5.574013116633401e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.20245499999374802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.7589302,0.06726752999590589,-5.598641708660196e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.20905499999374633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.8585706,0.07595972999565577,-5.650250070950318e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.22225499999374568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774373.9587862,0.0805038299955307,-5.677229841213633e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.2288549999937453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.058412,0.08998802999528055,-5.733540559976795e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.24205499999374602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.1647213,0.09492812999515549,-5.76287150847663e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.24865499999374707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.2602346,0.10520432999490535,-5.823884583712831e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.26185499999374773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.358752,0.11054042999478025,-5.855566710449186e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.26845499999374606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.4602704,0.11600852999465516,-5.888032563264387e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.27505499999374433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.5591688,0.1216086299945301,-5.921282142158425e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.28165499999374816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.6592538,0.13320482999427993,-5.990132478183022e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.2948549999937433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.766687,0.13920092999415487,-6.02573323531358e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.30145499999375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.8586917,0.14532902999402975,-6.062117718522975e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.3080549999937454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774374.9586813,0.15798122999377961,-6.13723786317829e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.3212549999937475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774375.0617838,0.1645053299936545,-6.175973524624205e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.3278549999937458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774375.161643,0.17116142999352943,-6.215492912148963e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.33445499999374684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774375.259209,0.18486962999327924,-6.296882865434993e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.3476549999937462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1781774375.3590739,0.19910582999302906,-6.381407723036386e-23,0.0,0.0,0.0,-5.937318779089741e-23,0.3608549999937455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
