timestamp,event_type,data
2026-06-11T22:04:44.468190+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.920448899269104,""mean_obstacle_dist"":4.226629870278495}"
2026-06-11T22:04:44.485643+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:44.570981+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.920448899269104,""mean_obstacle_dist"":4.226629870278495}"
2026-06-11T22:04:44.595541+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:44.696521+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:44.711649+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.920448899269104,""mean_obstacle_dist"":4.226629870278495}"
2026-06-11T22:04:44.807255+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:44.829292+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.920448899269104,""mean_obstacle_dist"":4.226629870278495}"
2026-06-11T22:04:44.847838+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:44.953859+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.920448899269104,""mean_obstacle_dist"":4.226629870278495}"
2026-06-11T22:04:44.992974+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:45.040128+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.920448899269104,""mean_obstacle_dist"":4.226629870278495}"
2026-06-11T22:04:45.050656+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:04:45.141942+00:00,odom,"{""x"":0.08759504671581338,""y"":0.08274444013561381,""z"":0.0,""yaw"":3.0957493846650457,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
