timestamp,event_type,data
2026-06-11T17:00:26.421108+00:00,odom,"{""x"":-1.0514119488683414e-13,""y"":3.5200469014155e-32,""z"":0.0,""yaw"":8.738473423382e-19,""linear_x"":2.9332454221459345e-20,""linear_y"":0.0,""angular_z"":1.1508137650369516e-19}"
2026-06-11T17:00:26.461355+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T17:00:26.470877+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T17:00:26.501469+00:00,odom,"{""x"":-1.0514119872690227e-13,""y"":3.520046564577263e-32,""z"":0.0,""yaw"":8.78971749637343e-19,""linear_x"":-2.900529605979766e-19,""linear_y"":0.0,""angular_z"":2.389257264713942e-19}"
2026-06-11T17:00:26.550694+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T17:00:26.550939+00:00,odom,"{""x"":-1.0514120122542297e-13,""y"":3.5200463445758404e-32,""z"":0.0,""yaw"":8.836561499053345e-19,""linear_x"":-3.5605378321024583e-20,""linear_y"":0.0,""angular_z"":2.646986903598466e-19}"
2026-06-11T17:00:26.609067+00:00,odom,"{""x"":-1.0514120393611459e-13,""y"":3.5200461046991947e-32,""z"":0.0,""yaw"":8.878855909553757e-19,""linear_x"":-1.6985572393625967e-19,""linear_y"":0.0,""angular_z"":2.9068827274820664e-19}"
2026-06-11T17:00:26.609999+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T17:00:26.646859+00:00,odom,"{""x"":-1.0514120435712544e-13,""y"":3.520046067147076e-32,""z"":0.0,""yaw"":8.906850403479908e-19,""linear_x"":-8.626537058422227e-20,""linear_y"":0.0,""angular_z"":1.21960816986406e-19}"
2026-06-11T17:00:26.694260+00:00,odom,"{""x"":-1.0514120651479774e-13,""y"":3.520045874154575e-32,""z"":0.0,""yaw"":8.959062204509597e-19,""linear_x"":-1.1108907010705174e-19,""linear_y"":0.0,""angular_z"":3.395285176099524e-19}"
2026-06-11T17:00:26.738131+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T17:00:26.774582+00:00,odom,"{""x"":-1.051412094281558e-13,""y"":3.520045612596684e-32,""z"":0.0,""yaw"":8.996585797022287e-19,""linear_x"":-2.3820946682440224e-19,""linear_y"":0.0,""angular_z"":2.662008293784599e-19}"
2026-06-11T17:00:26.829343+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
