timestamp,event_type,data
2026-06-10T15:14:53.877905+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:53.913494+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:53.916812+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:53.946073+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.009277+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.009561+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.087858+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.091044+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.124520+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.211937+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.270352+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.301332+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.346727+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.358814+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.361041+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.424167+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.450519+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.475401+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.548081+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.597901+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.675908+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T15:14:54.676298+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.704298+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9152096509933472,""mean_obstacle_dist"":4.20357995217714}"
2026-06-10T15:14:54.711014+00:00,odom,"{""x"":0.14318086909418754,""y"":0.04920602833825462,""z"":0.0,""yaw"":3.140172586787045,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
