timestamp,event_type,data
2026-06-11T21:46:33.088002+00:00,odom,"{""x"":-1.0514194624663595e-13,""y"":3.519905686960328e-32,""z"":0.0,""yaw"":2.8835038065664143e-18,""linear_x"":1.8819889830608488e-19,""linear_y"":0.0,""angular_z"":1.372729840068698e-19}"
2026-06-11T21:46:33.092709+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.108979+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.110851+00:00,odom,"{""x"":-1.0514194785792559e-13,""y"":3.5199052220700167e-32,""z"":0.0,""yaw"":2.887167545886803e-18,""linear_x"":-3.400283200452834e-20,""linear_y"":0.0,""angular_z"":2.2697012203265644e-19}"
2026-06-11T21:46:33.139845+00:00,odom,"{""x"":-1.051419487558262e-13,""y"":3.5199049625353984e-32,""z"":0.0,""yaw"":2.8899322732826846e-18,""linear_x"":-2.7565211481546104e-19,""linear_y"":0.0,""angular_z"":2.0921684973375761e-19}"
2026-06-11T21:46:33.216344+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.242891+00:00,odom,"{""x"":-1.0514194636824591e-13,""y"":3.5199056524345064e-32,""z"":0.0,""yaw"":2.89329595537465e-18,""linear_x"":3.854676926844234e-20,""linear_y"":0.0,""angular_z"":2.606263938280359e-19}"
2026-06-11T21:46:33.281212+00:00,odom,"{""x"":-1.0514194905247745e-13,""y"":3.519904875693556e-32,""z"":0.0,""yaw"":2.893372441380661e-18,""linear_x"":-1.9478952319790903e-19,""linear_y"":0.0,""angular_z"":-6.310959366193714e-20}"
2026-06-11T21:46:33.281366+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.341332+00:00,odom,"{""x"":-1.0514195182769099e-13,""y"":3.519904072515354e-32,""z"":0.0,""yaw"":2.8937714396173947e-18,""linear_x"":-1.4810902686134268e-19,""linear_y"":0.0,""angular_z"":1.260321145949219e-19}"
2026-06-11T21:46:33.343716+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.378351+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.392934+00:00,odom,"{""x"":-1.0514195722501956e-13,""y"":3.519902509310753e-32,""z"":0.0,""yaw"":2.899475637828174e-18,""linear_x"":-2.2153816765395644e-19,""linear_y"":0.0,""angular_z"":3.2896230728769854e-19}"
2026-06-11T21:46:33.424783+00:00,odom,"{""x"":-1.0514195761218562e-13,""y"":3.519902396978236e-32,""z"":0.0,""yaw"":2.9017724372770726e-18,""linear_x"":-1.1077276338978453e-19,""linear_y"":0.0,""angular_z"":1.1670000368212766e-19}"
2026-06-11T21:46:33.491060+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-11T21:46:33.504981+00:00,odom,"{""x"":-1.0514196043450524e-13,""y"":3.519901577393817e-32,""z"":0.0,""yaw"":2.908412303137068e-18,""linear_x"":-1.1648393332785465e-19,""linear_y"":0.0,""angular_z"":3.476516320196241e-19}"
2026-06-11T21:46:33.547760+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
