timestamp,event_type,data
2026-06-10T08:46:46.385100+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T08:46:46.385388+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9006223678588867,""mean_obstacle_dist"":4.2143334812967685}"
2026-06-10T08:46:46.435838+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T08:46:46.586727+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9006223678588867,""mean_obstacle_dist"":4.2143334812967685}"
2026-06-10T08:46:46.599258+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T08:46:46.674954+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9006223678588867,""mean_obstacle_dist"":4.2143334812967685}"
2026-06-10T08:46:46.676390+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T08:46:46.777911+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T08:46:46.780375+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9006223678588867,""mean_obstacle_dist"":4.2143334812967685}"
2026-06-10T08:46:46.810662+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T08:46:46.837103+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9006223678588867,""mean_obstacle_dist"":4.2143334812967685}"
2026-06-10T08:46:46.870466+00:00,odom,"{""x"":0.20879326295873182,""y"":-0.015947433981612556,""z"":0.0,""yaw"":-3.013625307421847,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
