timestamp,event_type,data
2026-06-11T21:58:56.188909+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.211792+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.220891+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.250121+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.288423+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.451422+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.463879+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.553870+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.554099+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.635006+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.641803+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.671176+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.672870+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.718770+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.845195+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:56.867777+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.928813+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:56.931006+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:57.025541+00:00,odom,"{""x"":0.11403718033952616,""y"":0.030183137270198453,""z"":0.0,""yaw"":-3.054543246588802,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:58:57.045336+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
2026-06-11T21:58:57.063523+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":349,""min_obstacle_dist"":1.9330300092697144,""mean_obstacle_dist"":4.2212923314304955}"
