timestamp,event_type,data
2026-06-10T21:10:03.906314+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-10T21:10:03.950965+00:00,odom,"{""x"":-1.0514131891490628e-13,""y"":3.520034291734507e-32,""z"":0.0,""yaw"":1.1591590220284167e-18,""linear_x"":-1.8226589941928917e-19,""linear_y"":0.0,""angular_z"":3.8171023549844067e-19}"
2026-06-10T21:10:04.038510+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-10T21:10:04.040794+00:00,odom,"{""x"":-1.0514132272903101e-13,""y"":3.520033848219493e-32,""z"":0.0,""yaw"":1.1657103104388183e-18,""linear_x"":-3.002188470004915e-19,""linear_y"":0.0,""angular_z"":3.096220307647804e-19}"
2026-06-10T21:10:04.108118+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-10T21:10:04.118305+00:00,odom,"{""x"":-1.0514132806465868e-13,""y"":3.5200332237926105e-32,""z"":0.0,""yaw"":1.1727911088666552e-18,""linear_x"":-2.7245644244385435e-19,""linear_y"":0.0,""angular_z"":3.368074577672512e-19}"
2026-06-10T21:10:04.227495+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
2026-06-10T21:10:04.231537+00:00,odom,"{""x"":-1.0514133181529049e-13,""y"":3.520032783247478e-32,""z"":0.0,""yaw"":1.1784482500729334e-18,""linear_x"":-8.09593709666707e-20,""linear_y"":0.0,""angular_z"":4.581380587350305e-19}"
2026-06-10T21:10:04.266792+00:00,odom,"{""x"":-1.0514133429026198e-13,""y"":3.5200324911717976e-32,""z"":0.0,""yaw"":1.1807181954344401e-18,""linear_x"":-1.7903173947074982e-19,""linear_y"":0.0,""angular_z"":9.53444264585297e-20}"
2026-06-10T21:10:04.267287+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":348,""min_obstacle_dist"":2.1078591346740723,""mean_obstacle_dist"":4.2119611645567}"
