timestamp,event_type,data
2026-06-10T21:15:13.289921+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.334835+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.416128+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.420405+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.462795+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.466966+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.548477+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.574628+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.606772+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.681143+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.760878+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.832284+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.856724+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:13.916457+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:13.924312+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:14.012861+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:15:14.022153+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9269838333129883,""mean_obstacle_dist"":4.217426813670567}"
2026-06-10T21:15:14.047346+00:00,odom,"{""x"":0.12668597330510187,""y"":0.002825258149945916,""z"":0.0,""yaw"":-3.075482149533699,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
