timestamp,event_type,data
2026-06-11T22:25:08.333957+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.419208+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.455343+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.523012+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.577180+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.611629+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.616032+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.697406+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.702400+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.709310+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.765953+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.828983+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.851845+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.859741+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.925798+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.926757+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:08.991240+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:08.998753+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9050452709197998,""mean_obstacle_dist"":4.22587439605168}"
2026-06-11T22:25:09.023705+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:25:09.102857+00:00,odom,"{""x"":0.016189620413676845,""y"":0.16083775030172226,""z"":0.0,""yaw"":-3.106484388098015,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
