timestamp,event_type,data
2026-06-10T21:18:12.864343+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:12.923939+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:12.934977+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:12.955431+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.034394+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.041835+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.127748+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.128429+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.160366+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.246837+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.295801+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.304878+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.337615+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.396137+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.406386+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.491644+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.496116+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.541326+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.629771+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.677840+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.709674+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.727455+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.791350+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.803686+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.878089+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:13.889391+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:13.920809+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:14.040604+00:00,odom,"{""x"":0.08547144100501762,""y"":0.0654208340395992,""z"":0.0,""yaw"":-3.10136640461953,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-10T21:18:14.095222+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
2026-06-10T21:18:14.099806+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9343857765197754,""mean_obstacle_dist"":4.209514195919037}"
