timestamp,event_type,data
2026-06-11T21:52:47.506799+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.8965731859207153,""mean_obstacle_dist"":4.207910778181893}"
2026-06-11T21:52:47.545317+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:52:47.625295+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.8965731859207153,""mean_obstacle_dist"":4.207910778181893}"
2026-06-11T21:52:47.629915+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:52:47.724827+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.8965731859207153,""mean_obstacle_dist"":4.207910778181893}"
2026-06-11T21:52:47.745116+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:52:47.853702+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:52:47.868577+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.8965731859207153,""mean_obstacle_dist"":4.207910778181893}"
2026-06-11T21:52:47.889451+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:52:48.015212+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.8965731859207153,""mean_obstacle_dist"":4.207910778181893}"
2026-06-11T21:52:48.037995+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T21:52:48.123648+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.8965731859207153,""mean_obstacle_dist"":4.207910778181893}"
2026-06-11T21:52:48.140045+00:00,odom,"{""x"":0.16010393724190955,""y"":0.01385598236497161,""z"":0.0,""yaw"":-3.0889874125916843,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
