timestamp,event_type,data
2026-06-11T22:29:09.863894+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:09.873044+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:09.888789+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:09.993350+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.060309+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.074359+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.102350+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.203880+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.219165+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.316638+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.345172+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.349645+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.463131+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.493776+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.509022+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.538373+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.590815+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.594656+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.659339+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.659570+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.707795+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.802486+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.828357+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.837859+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:10.858576+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.927220+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:10.927660+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:11.015877+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:11.019604+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:11.035080+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:11.134520+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:11.199402+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:11.249099+00:00,scan,"{""range_min"":0.30000001192092896,""range_max"":12.0,""beam_count"":360,""valid_beam_count"":350,""min_obstacle_dist"":1.9128766059875488,""mean_obstacle_dist"":4.202034172330584}"
2026-06-11T22:29:11.273328+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
2026-06-11T22:29:11.339108+00:00,odom,"{""x"":-0.09141172000691333,""y"":0.24759284630413728,""z"":0.0,""yaw"":-2.965320222074394,""linear_x"":0.0,""linear_y"":0.0,""angular_z"":0.0}"
